Flop0,Flop1,Flop2,Turn,River,Chips,Hands0,Hands1,Action0,Action1,Action2,Action3,Action4,Action5,Action6,Action7,Action8,Action9,,
4,6,8,-1,-1,569.6,23,13,1,3,4,4,4,6,-1,-1,-1,-1,,
23,17,36,26,14,619.1,50,6,0,2,2,-2,4,4,7,-1,-1,-1,,
4,7,9,-1,-1,165.03,24,33,1,3,4,3,4,4,6,-1,-1,-1,,
7,11,34,45,25,178.53,42,16,0,3,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,605.1,10,3,1,4,4,4,4,6,-1,-1,-1,-1,,
38,22,15,42,26,603.9,49,45,0,2,2,2,-2,6,-1,-1,-1,-1,,
6,10,10,-1,-1,179.53,46,36,1,2,3,4,9,6,-1,-1,-1,-1,,
46,37,8,34,28,350.56,33,22,0,3,4,2,-2,4,6,-1,-1,-1,,
4,6,9,-1,-1,431.87,32,17,1,4,4,4,3,4,6,-1,-1,-1,,
4,44,2,42,20,372.31,50,51,0,2,2,2,9,6,-1,-1,-1,-1,,
6,11,11,-1,-1,408.12,35,33,1,2,3,4,2,6,-1,-1,-1,-1,,
2,13,32,14,47,367.57,41,22,0,3,4,4,4,6,-1,-1,-1,-1,,
