Flop0,Flop1,Flop2,Turn,River,Chips,Hands0,Hands1,Action0,Action1,Action2,Action3,Action4,Action5,Action6,Action7,Action8,Action9
4,6,8,-1,-1,499,-1,-1,0,2,4,3,4,7,-1,-1,-1,-1
24,15,23,43,48,90.8,-1,-1,0,3,4,4,4,7,-1,-1,-1,-1
4,6,8,-1,-1,408,13,33,1,4,4,4,4,6,-1,-1,-1,-1
41,10,29,39,21,74.8,22,18,1,3,4,4,2,6,-1,-1,-1,-1
4,6,8,-1,-1,422.6,47,31,0,2,4,4,3,6,-1,-1,-1,-1
12,21,13,49,51,468,-1,-1,0,2,2,-2,4,4,7,-1,-1,-1
4,7,9,-1,-1,501,25,42,1,3,4,3,4,4,6,-1,-1,-1
32,3,45,34,31,50.8,48,20,1,2,-2,4,4,4,6,-1,-1,-1
5,7,9,-1,-1,446.1,-1,-1,0,2,3,4,4,4,7,-1,-1,-1
12,20,45,48,38,425.5,28,47,0,2,2,-2,4,2,-2,6,-1,-1
4,7,9,-1,-1,542,44,30,1,3,4,3,4,4,3,6,-1,-1
2,28,7,3,34,427.25,-1,-1,0,2,2,-2,4,4,7,-1,-1,-1
4,7,9,-1,-1,539.75,46,30,1,3,2,3,4,4,6,-1,-1,-1
39,41,10,44,8,333.25,28,32,0,2,2,-2,2,-2,2,-2,6,-1
4,7,10,-1,-1,632.75,-1,-1,1,3,4,3,4,3,4,3,7,-1
20,16,33,10,51,493.25,-1,-1,0,2,4,3,2,3,7,-1,-1,-1
4,6,8,-1,-1,471.75,35,48,1,3,4,2,4,2,6,-1,-1,-1
10,19,27,32,4,312.25,9,47,0,2,2,-2,4,4,6,-1,-1,-1
4,7,9,-1,-1,652.25,8,0,1,3,4,3,4,4,6,-1,-1,-1
20,23,27,45,14,662,41,9,1,4,4,2,4,6,-1,-1,-1,-1
4,6,8,-1,-1,186.8,51,13,0,3,4,3,4,6,-1,-1,-1,-1
47,36,49,40,45,487.55,13,38,1,3,4,4,2,6,-1,-1,-1,-1
4,6,8,-1,-1,462.5,41,20,0,2,4,4,3,6,-1,-1,-1,-1
0,18,5,8,29,698.6,22,38,1,4,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,147.5,4,46,0,3,4,4,4,6,-1,-1,-1,-1
33,45,51,46,9,555.05,17,42,1,2,-2,4,4,4,6,-1,-1,-1
5,7,9,-1,-1,400,12,43,0,2,3,4,4,4,6,-1,-1,-1
36,33,20,9,10,552.8,29,47,1,3,4,3,4,4,6,-1,-1,-1
4,7,9,-1,-1,402,2,44,0,2,2,-2,4,4,6,-1,-1,-1
6,51,47,42,16,564.55,-1,-1,0,3,3,4,3,4,7,-1,-1,-1
5,7,9,-1,-1,400,24,46,1,2,-2,4,2,4,6,-1,-1,-1
48,37,28,6,17,732.2,12,41,1,4,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,109.7,-1,-1,0,3,4,4,4,7,-1,-1,-1,-1
35,19,2,9,47,733.8,26,21,1,4,2,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,107.7,22,49,0,3,3,4,4,6,-1,-1,-1,-1
9,46,33,2,18,486.55,10,42,1,2,-2,4,4,3,2,6,-1,-1
5,7,10,-1,-1,476,-1,-1,0,2,3,4,2,-2,3,7,-1,-1
42,0,38,50,13,538.05,28,4,1,3,4,4,4,6,-1,-1,-1,-1
