Flop0,Flop1,Flop2,Turn,River,Chips,Hands0,Hands1,Action0,Action1,Action2,Action3,Action4,Action5,Action6,Action7,Action8,Action9,,
1,6,35,11,10,16.15,18,4,1,4,2,2,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,39.8,41,7,0,3,3,3,4,6,-1,-1,-1,-1,,
1,34,39,36,20,33.9,41,17,1,4,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,26.5,10,44,0,3,4,4,4,6,-1,-1,-1,-1,,
40,27,9,16,15,13.85,-1,-1,0,3,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,6.35,46,8,1,4,4,4,4,6,-1,-1,-1,-1,,
28,26,25,3,34,79.35,-1,-1,0,3,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,28.5,21,19,1,4,4,4,4,6,-1,-1,-1,-1,,
38,45,31,22,23,14.65,47,17,1,4,4,2,9,6,-1,-1,-1,-1,,
4,9,9,-1,-1,41.15,14,44,0,3,2,9,-2,6,-1,-1,-1,-1,,
51,13,15,18,24,12.35,8,4,1,4,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,7.8,41,3,0,3,4,4,4,6,-1,-1,-1,-1,,
20,37,50,24,49,11.85,-1,-1,0,2,2,-2,4,4,7,-1,-1,-1,,
4,7,9,-1,-1,8.25,4,36,1,3,4,3,4,4,6,-1,-1,-1,,
1,41,20,5,30,63.05,39,2,0,3,2,-2,4,4,6,-1,-1,-1,,
4,7,9,-1,-1,54.55,32,3,1,4,4,3,4,4,6,-1,-1,-1,,
35,10,46,1,34,34.55,12,33,1,4,4,3,4,3,2,6,-1,-1,,
4,7,10,-1,-1,25.7,21,32,0,3,2,-2,2,-2,3,6,-1,-1,,
4,22,0,37,39,77.3,20,29,0,3,2,-2,4,4,6,-1,-1,-1,,
4,7,9,-1,-1,30.3,51,11,1,4,4,3,4,4,6,-1,-1,-1,,
25,11,36,43,39,13.1,8,17,1,4,2,4,3,4,6,-1,-1,-1,,
4,6,9,-1,-1,6.6,34,26,0,3,3,2,-2,4,6,-1,-1,-1,,
29,28,15,47,51,63.4,44,37,1,3,4,3,4,4,6,-1,-1,-1,,
4,7,9,-1,-1,54.05,-1,-1,0,2,2,-2,4,4,7,-1,-1,-1,,
48,47,23,5,18,65.9,-1,-1,0,3,3,3,9,-2,7,-1,-1,-1,,
5,7,10,-1,-1,51.8,37,50,1,2,-2,2,2,9,6,-1,-1,-1,,
13,10,27,2,1,78.15,-1,-1,0,3,2,3,4,3,7,-1,-1,-1,,
4,8,10,-1,-1,29.3,23,17,1,4,4,2,4,2,6,-1,-1,-1,,
35,40,42,6,34,14.7,39,43,0,2,3,6,-1,-1,-1,-1,-1,-1,,
5,5,5,-1,-1,4.4,37,48,1,9,-2,6,-1,-1,-1,-1,-1,-1,,
43,12,39,48,15,67.9,30,4,0,3,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,39.05,7,28,1,4,4,4,4,6,-1,-1,-1,-1,,
4,7,36,37,3,16.45,43,14,0,3,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,38.25,20,26,1,4,4,4,4,6,-1,-1,-1,-1,,
15,41,30,35,21,18.7,36,13,1,3,2,3,2,2,6,-1,-1,-1,,
4,7,9,-1,-1,10,28,47,0,2,2,-2,3,3,6,-1,-1,-1,,
2,17,49,1,29,27.65,16,13,0,3,2,-2,2,3,4,6,-1,-1,,
4,7,11,-1,-1,31.7,3,40,1,4,4,3,4,2,4,6,-1,-1,,
0,17,46,24,32,69.7,-1,-1,0,3,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,37.05,33,4,1,4,4,4,4,6,-1,-1,-1,-1,,
8,50,39,7,34,13.7,48,26,0,2,9,-2,6,-1,-1,-1,-1,-1,,
4,7,7,-1,-1,14.55,51,19,1,3,2,3,6,-1,-1,-1,-1,-1,,
25,51,7,21,11,11.5,29,50,0,2,9,6,-1,-1,-1,-1,-1,-1,,
6,6,6,-1,-1,176.05,39,38,1,2,3,6,-1,-1,-1,-1,-1,-1,,
35,21,1,3,12,18.55,46,32,1,3,4,2,9,6,-1,-1,-1,-1,,
4,9,9,-1,-1,36,-1,-1,0,2,2,2,-2,7,-1,-1,-1,-1,,
20,3,12,24,17,27.15,-1,-1,0,2,7,-1,-1,-1,-1,-1,-1,-1,,
4,4,4,-1,-1,0.6,16,49,1,9,6,-1,-1,-1,-1,-1,-1,-1,,
43,42,28,45,16,25.9,3,36,1,4,4,3,4,4,6,-1,-1,-1,,
4,7,9,-1,-1,32.85,-1,-1,0,3,2,-2,4,4,7,-1,-1,-1,,
3,26,49,10,18,69.9,-1,-1,0,3,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,36.75,7,19,1,4,4,4,4,6,-1,-1,-1,-1,,
45,44,22,41,20,26.05,-1,-1,0,2,3,7,-1,-1,-1,-1,-1,-1,,
5,5,5,-1,-1,1.65,14,47,1,9,-2,6,-1,-1,-1,-1,-1,-1,,
30,45,35,51,17,60.6,-1,-1,0,2,4,2,-2,4,7,-1,-1,-1,,
4,6,9,-1,-1,42,19,7,1,3,4,4,3,4,6,-1,-1,-1,,
38,41,26,44,34,26.85,-1,-1,0,3,2,-2,4,4,7,-1,-1,-1,,
4,7,9,-1,-1,31.85,13,39,1,4,4,3,4,4,6,-1,-1,-1,,
44,51,36,26,22,24.65,38,39,0,2,3,6,-1,-1,-1,-1,-1,-1,,
5,5,5,-1,-1,2.9,32,21,1,9,-2,6,-1,-1,-1,-1,-1,-1,,
41,49,32,23,24,67.9,-1,-1,0,3,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,38.55,34,11,1,4,4,4,4,6,-1,-1,-1,-1,,
26,3,35,48,45,27,-1,-1,1,3,4,2,4,3,7,-1,-1,-1,,
4,6,8,-1,-1,164.55,23,50,0,2,4,3,2,-2,6,-1,-1,-1,,
41,30,49,31,4,67.65,-1,-1,0,3,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,38.75,13,47,1,4,4,4,4,6,-1,-1,-1,-1,,
34,26,10,39,50,26.05,2,48,0,3,2,-2,2,-2,2,-2,6,-1,,
4,7,10,-1,-1,32.55,-1,-1,1,4,4,3,4,3,4,3,7,-1,,
22,32,39,12,0,27.75,50,38,0,3,3,6,-1,-1,-1,-1,-1,-1,,
5,5,5,-1,-1,9.5,25,26,1,9,-2,6,-1,-1,-1,-1,-1,-1,,
27,9,16,24,0,32.5,40,48,1,2,-2,2,2,3,9,6,-1,-1,,
5,7,10,-1,-1,29.45,-1,-1,0,2,3,3,2,-2,9,7,-1,-1,,
20,35,15,19,18,58.25,51,44,0,2,4,2,-2,4,6,-1,-1,-1,,
4,6,9,-1,-1,43.6,9,38,1,3,4,4,3,4,6,-1,-1,-1,,
3,5,44,34,20,37,38,33,0,3,4,3,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,9.75,12,7,1,4,4,2,4,6,-1,-1,-1,-1,,
7,13,50,46,1,22.5,49,22,1,2,9,-2,6,-1,-1,-1,-1,-1,,
7,7,7,-1,-1,168.6,51,47,0,2,2,3,6,-1,-1,-1,-1,-1,,
21,40,47,28,42,38.2,23,32,1,4,2,2,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,8.5,-1,-1,0,3,3,3,4,7,-1,-1,-1,-1,,
28,44,40,33,8,31.2,-1,-1,0,2,2,3,4,4,7,-1,-1,-1,,
4,8,10,-1,-1,51.4,32,38,1,3,4,2,4,4,6,-1,-1,-1,,
21,36,50,41,5,29.85,32,16,1,4,4,3,4,4,6,-1,-1,-1,,
4,7,9,-1,-1,28.25,45,7,0,3,2,-2,4,4,6,-1,-1,-1,,
34,2,32,38,26,39.55,15,5,1,4,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,7,21,17,0,3,4,4,4,6,-1,-1,-1,-1,,
6,44,12,50,42,64.65,-1,-1,0,2,3,4,4,4,7,-1,-1,-1,,
5,7,9,-1,-1,36.6,26,37,1,2,-2,4,4,4,6,-1,-1,-1,,
23,5,36,33,34,37.85,-1,-1,0,3,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,28.55,4,1,1,4,4,4,4,6,-1,-1,-1,-1,,
40,43,27,5,14,22.85,-1,-1,1,4,4,4,4,3,7,-1,-1,-1,,
4,6,8,-1,-1,34.7,17,12,0,3,4,4,2,-2,6,-1,-1,-1,,
21,43,49,24,46,66.25,33,50,0,3,4,2,-2,2,-2,6,-1,-1,,
4,6,9,-1,-1,39.7,26,20,1,4,4,2,3,4,3,6,-1,-1,,
1,49,48,39,51,39.95,46,6,0,3,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,6.4,11,33,1,4,4,4,4,6,-1,-1,-1,-1,,
15,23,0,5,7,22.75,-1,-1,1,4,4,4,3,2,3,7,-1,-1,,
4,6,9,-1,-1,34.65,6,42,0,3,4,2,-2,2,-2,6,-1,-1,,
46,45,8,21,41,15,-1,-1,0,3,2,-2,4,3,7,-1,-1,-1,,
4,7,9,-1,-1,14.95,30,44,1,4,4,3,4,2,6,-1,-1,-1,,
23,10,18,21,2,50,-1,-1,0,2,4,4,3,7,-1,-1,-1,-1,,
4,6,8,-1,-1,61.05,40,51,1,3,4,4,2,6,-1,-1,-1,-1,,
25,21,20,46,50,24.35,-1,-1,0,3,4,3,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,189.85,23,26,1,4,4,2,4,6,-1,-1,-1,-1,,
9,13,34,50,18,8.75,28,26,1,4,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,20.65,27,47,0,3,4,4,4,6,-1,-1,-1,-1,,
