Flop0,Flop1,Flop2,Turn,River,Chips,Hands0,Hands1,Action0,Action1,Action2,Action3,Action4,Action5,Action6,Action7,Action8,Action9,,
25,31,39,1,50,239.15,19,45,0,3,4,4,2,-2,6,-1,-1,-1,,
4,6,8,-1,-1,192.75,21,3,1,4,4,4,4,3,6,-1,-1,-1,,
15,33,6,28,40,68.2,50,34,0,2,4,3,2,-2,6,-1,-1,-1,,
4,6,8,-1,-1,230.8,-1,-1,1,3,4,2,4,3,7,-1,-1,-1,,
24,45,18,41,48,233.15,-1,-1,0,3,3,3,3,3,7,-1,-1,-1,,
5,7,9,-1,-1,198.4,35,38,1,2,-2,2,2,2,6,-1,-1,-1,,
16,48,32,5,34,110.9,28,24,0,3,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,383.1,2,43,1,4,4,4,4,6,-1,-1,-1,-1,,
28,10,51,31,13,131.15,-1,-1,1,3,2,2,2,3,7,-1,-1,-1,,
4,6,8,-1,-1,299.9,48,25,0,2,3,3,2,-2,6,-1,-1,-1,,
39,30,38,31,9,98.7,47,43,0,3,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,394.6,21,11,1,4,4,4,4,6,-1,-1,-1,-1,,
1,24,42,38,43,84.5,29,48,1,3,4,3,4,3,4,6,-1,-1,,
4,7,10,-1,-1,191,-1,-1,0,2,2,-2,2,-2,4,7,-1,-1,,
18,36,34,37,42,109.15,-1,-1,0,3,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,321.4,49,24,1,4,4,4,4,6,-1,-1,-1,-1,,
6,17,8,50,20,60.65,19,15,0,2,3,9,6,-1,-1,-1,-1,-1,,
5,7,7,-1,-1,179.25,46,22,1,2,-2,2,6,-1,-1,-1,-1,-1,,
17,25,7,51,29,100.5,26,44,1,3,4,3,4,3,4,6,-1,-1,,
4,7,10,-1,-1,392.6,-1,-1,0,2,2,-2,2,-2,4,7,-1,-1,,
30,6,26,32,13,105.75,-1,-1,0,3,4,3,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,323.7,33,8,1,4,4,2,4,6,-1,-1,-1,-1,,
33,28,29,17,49,140.8,40,31,0,3,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,351.6,7,12,1,4,4,4,4,6,-1,-1,-1,-1,,
1,0,39,22,13,130.3,27,26,1,3,4,3,4,4,6,-1,-1,-1,,
4,7,9,-1,-1,108.6,-1,-1,0,2,2,-2,4,4,7,-1,-1,-1,,
33,39,25,15,35,143.6,50,49,0,3,3,3,2,-2,4,6,-1,-1,,
5,7,10,-1,-1,348.6,40,45,1,2,-2,2,4,3,4,6,-1,-1,,
43,13,10,23,11,98.75,38,34,1,2,-2,4,4,4,6,-1,-1,-1,,
5,7,9,-1,-1,330.2,46,2,0,2,3,4,4,4,6,-1,-1,-1,,
12,7,1,47,35,791.55,36,29,0,3,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,423.4,27,9,1,4,4,4,4,6,-1,-1,-1,-1,,
35,5,38,43,12,143.8,24,25,1,3,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,94.6,-1,-1,0,2,4,4,4,7,-1,-1,-1,-1,,
17,18,25,34,26,88.75,-1,-1,0,3,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,339.7,40,20,1,4,4,4,4,6,-1,-1,-1,-1,,
27,11,36,41,40,179.1,14,15,0,3,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,312.1,23,48,1,4,4,4,4,6,-1,-1,-1,-1,,
8,15,29,3,30,792.85,50,14,1,2,-2,2,2,2,6,-1,-1,-1,,
5,7,9,-1,-1,420.9,4,28,0,2,3,3,3,3,6,-1,-1,-1,,
44,21,33,34,20,181.9,26,25,0,3,3,4,2,-2,6,-1,-1,-1,,
4,6,8,-1,-1,309.1,24,47,1,4,2,4,4,3,6,-1,-1,-1,,
35,30,46,14,4,168.9,-1,-1,0,3,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,321.6,10,12,1,4,4,4,4,6,-1,-1,-1,-1,,
17,22,30,44,21,87.25,29,28,0,2,3,9,-2,6,-1,-1,-1,-1,,
5,8,8,-1,-1,340,38,39,1,2,-2,2,3,6,-1,-1,-1,-1,,
33,18,38,16,51,672.85,39,34,1,3,2,3,4,3,4,6,-1,-1,,
4,7,10,-1,-1,539.9,-1,-1,0,2,2,-2,2,-2,4,7,-1,-1,,
23,44,49,43,42,195.5,-1,-1,0,2,2,-2,4,4,7,-1,-1,-1,,
4,7,9,-1,-1,363.3,46,37,1,3,4,3,4,4,6,-1,-1,-1,,
31,44,17,23,47,140.8,50,29,1,3,4,3,4,2,6,-1,-1,-1,,
4,7,9,-1,-1,197.5,-1,-1,0,2,2,-2,4,3,7,-1,-1,-1,,
37,25,26,13,3,173.5,30,16,0,3,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,316.4,9,31,1,4,4,4,4,6,-1,-1,-1,-1,,
46,8,9,4,17,200,37,18,0,2,4,4,2,-2,6,-1,-1,-1,,
